"B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M","GEO_ID","NAME"
"1467","90","32","29","69","46","187","94","138","65","140","80","192","82","127","81","93","42","477","108","12","18","1400000US06001430900","Census Tract 4309, Alameda County, California"
"628","123","8","13","59","45","73","40","57","44","149","78","43","39","17","19","84","66","101","50","37","39","1400000US06001431000","Census Tract 4310, Alameda County, California"
"962","73","40","44","37","32","132","55","136","61","73","36","83","56","95","58","147","62","219","79","0","12","1400000US06001431100","Census Tract 4311, Alameda County, California"
"1257","204","130","86","48","56","176","110","87","56","291","158","132","100","17","28","118","115","258","103","0","17","1400000US06001431200","Census Tract 4312, Alameda County, California"
"363","83","0","12","68","56","29","27","32","32","19","23","23","27","39","30","19","21","82","56","52","65","1400000US06001432100","Census Tract 4321, Alameda County, California"
"911","121","32","32","52","36","84","52","165","85","35","35","85","66","24","42","77","63","315","92","42","34","1400000US06001432200","Census Tract 4322, Alameda County, California"
"644","115","9","15","70","61","52","42","181","88","49","44","8","13","42","39","59","50","151","85","23","25","1400000US06001432300","Census Tract 4323, Alameda County, California"
"1006","142","19","20","40","33","121","62","156","94","85","58","90","52","164","93","41","34","235","97","55","38","1400000US06001432400","Census Tract 4324, Alameda County, California"
"708","118","24","26","30","28","73","54","72","51","54","50","80","59","59","38","97","56","194","85","25","28","1400000US06001432501","Census Tract 4325.01, Alameda County, California"
"693","91","9","14","27","25","86","50","124","72","37","45","70","57","47","44","88","58","188","77","17","19","1400000US06001432502","Census Tract 4325.02, Alameda County, California"
"1957","241","16","26","110","102","272","122","216","103","240","109","281","136","85","75","152","92","489","176","96","75","1400000US06001432600","Census Tract 4326, Alameda County, California"
"289","81","8","12","0","12","43","40","31","26","0","12","34","39","64","50","44","44","65","51","0","12","1400000US06001432700","Census Tract 4327, Alameda County, California"
"201","95","12","19","0","12","3","9","26","29","27","26","52","61","0","12","16","25","29","46","36","33","1400000US06001432800","Census Tract 4328, Alameda County, California"
"339","96","0","12","56","60","38","47","89","65","11","19","52","44","3","4","29","27","61","51","0","12","1400000US06001433000","Census Tract 4330, Alameda County, California"
"594","140","8","11","22","22","111","62","65","47","106","83","23","26","50","37","113","86","87","73","9","14","1400000US06001433102","Census Tract 4331.02, Alameda County, California"
"1074","109","11","18","5","11","99","68","252","102","158","80","124","77","125","82","98","72","177","75","25","26","1400000US06001433103","Census Tract 4331.03, Alameda County, California"
"1387","152","73","70","38","38","42","33","159","97","190","92","183","104","104","66","93","55","464","133","41","35","1400000US06001433104","Census Tract 4331.04, Alameda County, California"
"1603","203","70","56","15","25","142","118","242","141","175","109","66","55","100","91","298","154","377","171","118","128","1400000US06001433200","Census Tract 4332, Alameda County, California"
"423","128","0","17","31","33","71","68","32","49","123","93","0","17","35","55","43","51","62","69","26","29","1400000US06001433300","Census Tract 4333, Alameda County, California"
"540","208","0","17","35","44","171","85","23","28","13","21","25","41","47","70","98","129","82","76","46","62","1400000US06001433400","Census Tract 4334, Alameda County, California"
"219","83","32","33","43","53","15","25","38","32","10","16","0","12","0","12","64","52","17","24","0","12","1400000US06001433500","Census Tract 4335, Alameda County, California"
"948","185","9","15","36","40","23","28","149","118","135","89","176","141","17","32","75","75","226","125","102","111","1400000US06001433600","Census Tract 4336, Alameda County, California"
"620","95","11","18","17","22","131","60","117","63","35","34","42","37","85","67","83","79","92","48","7","10","1400000US06001433700","Census Tract 4337, Alameda County, California"
"1275","201","13","22","0","17","217","132","76","62","140","103","155","109","75","89","110","91","440","171","49","46","1400000US06001433800","Census Tract 4338, Alameda County, California"
"1954","175","12","19","69","73","145","94","340","156","384","173","83","61","231","149","157","112","461","180","72","68","1400000US06001433900","Census Tract 4339, Alameda County, California"
"1155","133","18","21","47","41","82","53","88","57","185","98","106","73","94","66","113","76","366","104","56","55","1400000US06001434000","Census Tract 4340, Alameda County, California"
"448","157","0","17","8","14","130","92","71","65","64","85","42","29","42","42","0","17","56","63","35","36","1400000US06001435102","Census Tract 4351.02, Alameda County, California"
"195","96","0","17","23","36","32","36","0","17","49","45","0","17","0","17","0","17","17","26","74","74","1400000US06001435103","Census Tract 4351.03, Alameda County, California"
"1691","152","0","17","88","66","168","78","196","86","217","115","211","137","119","84","148","83","523","165","21","24","1400000US06001435104","Census Tract 4351.04, Alameda County, California"
"253","99","0","12","25","27","10","15","14","22","50","73","25","30","41","63","43","32","45","41","0","12","1400000US06001435200","Census Tract 4352, Alameda County, California"
"1014","134","16","18","65","45","41","32","182","85","121","74","169","84","129","76","74","54","185","108","32","30","1400000US06001435300","Census Tract 4353, Alameda County, California"
"1206","165","28","36","93","81","81","72","171","77","102","64","74","50","100","56","79","55","438","106","40","39","1400000US06001435400","Census Tract 4354, Alameda County, California"
"1091","104","11","16","92","68","140","76","60","51","125","76","25","23","61","52","142","64","373","120","62","48","1400000US06001435500","Census Tract 4355, Alameda County, California"
"1203","129","33","41","67","66","119","69","145","76","149","97","160","82","184","106","79","56","259","113","8","12","1400000US06001435601","Census Tract 4356.01, Alameda County, California"
"1248","124","9","15","141","85","245","91","221","81","103","60","100","58","25","24","119","74","247","88","38","46","1400000US06001435602","Census Tract 4356.02, Alameda County, California"
"534","122","0","17","36","45","55","67","67","45","102","74","39","30","37","30","7","11","151","95","40","43","1400000US06001435700","Census Tract 4357, Alameda County, California"
"411","107","0","17","13","20","78","75","60","53","79","65","80","51","27","27","34","32","40","32","0","17","1400000US06001435800","Census Tract 4358, Alameda County, California"
"271","89","28","41","25","30","18","22","22","26","0","17","33","28","13","17","23","22","69","54","40","36","1400000US06001435900","Census Tract 4359, Alameda County, California"
"301","94","12","18","0","17","12","22","69","53","37","32","13","21","42","48","17","21","64","55","35","33","1400000US06001436000","Census Tract 4360, Alameda County, California"
"736","118","34","45","24","28","82","57","159","74","168","76","61","54","63","51","33","41","84","49","28","27","1400000US06001436100","Census Tract 4361, Alameda County, California"
"1076","97","8","14","29","27","87","61","182","100","155","84","34","31","51","49","78","60","399","118","53","57","1400000US06001436200","Census Tract 4362, Alameda County, California"
"1623","204","0","17","156","127","135","89","76","73","325","157","208","112","63","56","312","153","319","168","29","34","1400000US06001436300","Census Tract 4363, Alameda County, California"
"1089","185","11","19","137","88","92","68","89","68","130","78","102","69","133","107","16","26","363","142","16","24","1400000US06001436401","Census Tract 4364.01, Alameda County, California"
"105","55","0","12","24","25","0","12","26","23","7","11","0","12","25","40","0","12","0","12","23","22","1400000US06001436402","Census Tract 4364.02, Alameda County, California"
"1243","109","34","38","78","61","129","61","171","86","159","65","117","57","151","79","100","54","265","87","39","37","1400000US06001436500","Census Tract 4365, Alameda County, California"
"1102","133","7","12","49","48","195","90","126","75","143","74","114","66","124","81","152","82","176","68","16","21","1400000US06001436601","Census Tract 4366.01, Alameda County, California"
"1383","129","38","53","56","52","222","104","145","95","211","93","117","66","124","87","151","82","304","109","15","23","1400000US06001436602","Census Tract 4366.02, Alameda County, California"
"494","99","41","44","66","59","48","39","11","16","107","82","39","31","8","13","0","12","145","86","29","27","1400000US06001436700","Census Tract 4367, Alameda County, California"
"637","114","0","12","9","15","34","35","144","59","185","91","56","45","40","42","69","54","90","47","10","16","1400000US06001436800","Census Tract 4368, Alameda County, California"
"1042","112","21","34","106","81","85","49","136","76","89","60","79","44","33","29","119","74","327","123","47","45","1400000US06001436900","Census Tract 4369, Alameda County, California"
"222","68","29","36","0","12","34","24","16","18","14","15","12","19","16","20","15","17","64","54","22","23","1400000US06001437000","Census Tract 4370, Alameda County, California"
"373","121","44","60","90","80","85","66","6","10","11","16","0","17","31","31","48","44","52","36","6","9","1400000US06001437101","Census Tract 4371.01, Alameda County, California"
"789","109","44","64","16","19","61","42","127","76","137","80","168","101","10","15","36","44","164","81","26","21","1400000US06001437102","Census Tract 4371.02, Alameda County, California"
"712","166","16","28","77","67","78","56","149","108","41","46","76","69","37","47","93","85","101","53","44","68","1400000US06001437200","Census Tract 4372, Alameda County, California"
"446","70","11","15","33","31","45","23","71","65","41","41","32","36","44","46","16","17","131","55","22","27","1400000US06001437300","Census Tract 4373, Alameda County, California"
"198","56","0","12","0","12","30","26","48","36","21","24","22","25","29","27","0","12","48","35","0","12","1400000US06001437400","Census Tract 4374, Alameda County, California"
"873","99","18","28","11","19","60","47","87","62","167","76","83","59","78","48","84","52","232","80","53","51","1400000US06001437500","Census Tract 4375, Alameda County, California"
"374","62","20","22","31","26","27","23","53","31","37","28","14","12","30","23","54","39","84","39","24","17","1400000US06001437600","Census Tract 4376, Alameda County, California"
"833","92","29","29","93","60","79","56","88","59","70","52","48","40","87","59","170","79","169","83","0","12","1400000US06001437701","Census Tract 4377.01, Alameda County, California"
"1057","55","42","31","41","42","119","48","185","86","91","67","120","70","127","59","56","43","262","88","14","22","1400000US06001437702","Census Tract 4377.02, Alameda County, California"
"448","106","0","12","63","71","48","39","28","29","172","65","0","12","14","16","36","27","87","77","0","12","1400000US06001437800","Census Tract 4378, Alameda County, California"
"399","61","17","13","29","25","46","33","50","33","36","28","41","30","4","6","18","17","128","50","30","21","1400000US06001437900","Census Tract 4379, Alameda County, California"
"465","108","8","11","0","12","28","46","75","63","81","64","111","69","0","12","98","73","47","58","17","19","1400000US06001438000","Census Tract 4380, Alameda County, California"
"670","156","10","16","0","17","84","66","88","73","35","37","61","67","140","105","51","57","185","117","16","27","1400000US06001438100","Census Tract 4381, Alameda County, California"
"257","122","0","17","0","17","24","23","23","38","58","49","18","19","0","17","58","65","49","75","27","41","1400000US06001438201","Census Tract 4382.01, Alameda County, California"
"243","105","0","12","37","36","0","12","21","22","50","52","10","17","17","21","0","12","102","77","6","10","1400000US06001438203","Census Tract 4382.03, Alameda County, California"
"424","120","0","17","10","14","43","36","0","17","66","59","52","48","48","45","49","45","132","65","24","25","1400000US06001438204","Census Tract 4382.04, Alameda County, California"
"270","80","2","5","14","17","71","49","45","35","17","21","11","17","15","23","15","18","76","45","4","7","1400000US06001438300","Census Tract 4383, Alameda County, California"
"114","49","13","20","0","12","0","12","0","12","3","7","18","27","0","12","56","36","12","16","12","13","1400000US06001438400","Census Tract 4384, Alameda County, California"
"645","62","34","32","28","27","20","21","42","31","124","50","48","30","10","15","52","29","224","52","63","26","1400000US06001440100","Census Tract 4401, Alameda County, California"
"785","121","6","10","50","39","101","64","97","56","120","75","73","50","118","62","120","79","91","51","9","14","1400000US06001440200","Census Tract 4402, Alameda County, California"
"744","189","0","17","127","113","33","51","87","72","35","40","58","58","76","98","183","150","76","85","69","85","1400000US06001440301","Census Tract 4403.01, Alameda County, California"
"415","76","13","17","20","22","76","48","60","40","48","43","49","37","50","53","21","33","71","54","7","11","1400000US06001440304","Census Tract 4403.04, Alameda County, California"
"152","55","0","12","6","11","29","30","57","44","6","9","3","5","0","12","15","18","32","41","4","7","1400000US06001440305","Census Tract 4403.05, Alameda County, California"
"349","76","7","13","3","6","99","48","62","44","6","10","19","17","2","6","90","61","54","41","7","11","1400000US06001440306","Census Tract 4403.06, Alameda County, California"
"522","126","10","16","37","51","132","94","67","42","56","51","43","35","0","12","86","78","83","52","8","13","1400000US06001440307","Census Tract 4403.07, Alameda County, California"
"992","157","26","32","126","60","70","56","214","104","68","48","67","46","56","45","124","76","224","73","17","19","1400000US06001440308","Census Tract 4403.08, Alameda County, California"
"431","73","0","12","30","19","73","45","95","45","54","41","53","41","43","37","23","19","48","28","12","22","1400000US06001440331","Census Tract 4403.31, Alameda County, California"
"104","38","0","12","10","11","25","24","26","26","11","13","21","20","0","12","0","12","11","12","0","12","1400000US06001440332","Census Tract 4403.32, Alameda County, California"
"131","53","0","12","0","12","41","37","0","12","26","31","19","23","5","7","6","9","29","28","5","8","1400000US06001440333","Census Tract 4403.33, Alameda County, California"
"228","94","0","12","70","66","11","17","48","43","0","12","22","26","0","12","30","48","47","48","0","12","1400000US06001440334","Census Tract 4403.34, Alameda County, California"
"1026","181","34","38","91","70","209","122","249","136","102","48","88","89","77","69","67","61","109","90","0","17","1400000US06001440335","Census Tract 4403.35, Alameda County, California"
"613","116","11","18","58","48","49","48","122","95","109","60","14","15","36","43","105","67","97","62","12","19","1400000US06001440336","Census Tract 4403.36, Alameda County, California"
"409","111","9","13","16","18","36","26","41","41","59","53","6","12","40","49","46","48","146","84","10","15","1400000US06001441100","Census Tract 4411, Alameda County, California"
"1139","183","0","17","36","58","149","100","145","84","62","60","136","94","91","61","309","149","190","116","21","23","1400000US06001441200","Census Tract 4412, Alameda County, California"
"602","89","24","25","45","33","61","36","104","44","162","81","67","48","25","24","12","19","90","49","12","19","1400000US06001441301","Census Tract 4413.01, Alameda County, California"
"662","113","19","21","40","36","97","47","175","75","97","43","88","56","7","13","72","65","57","49","10","15","1400000US06001441302","Census Tract 4413.02, Alameda County, California"
"1034","193","80","97","19","30","97","70","327","158","123","90","91","74","71","74","0","17","177","111","49","48","1400000US06001441401","Census Tract 4414.01, Alameda County, California"
"505","105","6","11","37","31","52","38","123","68","100","58","18","21","58","42","11","17","83","48","17","14","1400000US06001441402","Census Tract 4414.02, Alameda County, California"
"124","66","16","19","10","15","12","18","37","45","0","17","0","17","6","10","0","17","29","24","14","19","1400000US06001441501","Census Tract 4415.01, Alameda County, California"
"551","119","11","16","78","60","66","44","58","39","173","99","37","26","14","17","15","17","78","57","21","23","1400000US06001441503","Census Tract 4415.03, Alameda County, California"
"450","102","49","57","51","59","43","46","92","58","50","52","61","43","23","26","5","8","72","60","4","8","1400000US06001441521","Census Tract 4415.21, Alameda County, California"
"226","95","10","16","31","28","40","47","17","17","29","27","0","17","14","23","27","43","58","49","0","17","1400000US06001441522","Census Tract 4415.22, Alameda County, California"
"833","108","10","17","122","72","130","64","223","90","158","76","67","43","69","55","0","12","54","34","0","12","1400000US06001441523","Census Tract 4415.23, Alameda County, California"
"518","102","20","22","47","35","128","68","52","45","68","37","67","58","8","13","42","41","77","60","9","15","1400000US06001441524","Census Tract 4415.24, Alameda County, California"
"258","98","0","12","13","19","7","12","28","44","11","17","84","66","8","13","50","47","46","46","11","17","1400000US06001441601","Census Tract 4416.01, Alameda County, California"
"1120","178","13","20","142","106","75","49","126","89","191","103","82","77","80","63","58","66","292","144","61","76","1400000US06001441602","Census Tract 4416.02, Alameda County, California"
"1465","218","54","68","124","74","353","172","133","96","148","101","97","71","174","166","135","121","171","102","76","104","1400000US06001441700","Census Tract 4417, Alameda County, California"
"1043","195","0","17","18","29","136","102","74","64","321","168","139","113","19","36","56","58","230","119","50","48","1400000US06001441800","Census Tract 4418, Alameda County, California"
"802","102","8","13","169","94","220","92","84","45","184","80","58","62","17","18","16","19","22","20","24","37","1400000US06001441921","Census Tract 4419.21, Alameda County, California"
"2159","168","49","58","278","179","161","91","507","190","353","164","140","98","108","93","164","98","374","166","25","36","1400000US06001441923","Census Tract 4419.23, Alameda County, California"
"1037","170","72","48","154","90","214","94","220","149","113","86","13","22","75","49","40","38","126","86","10","18","1400000US06001441924","Census Tract 4419.24, Alameda County, California"
"2556","146","44","52","470","167","360","161","453","135","423","160","151","89","145","113","148","119","281","130","81","76","1400000US06001441925","Census Tract 4419.25, Alameda County, California"
"1175","76","33","40","114","56","170","68","248","80","164","80","131","64","65","46","78","52","136","72","36","28","1400000US06001441926","Census Tract 4419.26, Alameda County, California"
"1337","112","18","20","109","59","161","73","286","95","242","96","129","75","66","42","39","31","287","82","0","12","1400000US06001441927","Census Tract 4419.27, Alameda County, California"
"86","62","0","12","12","20","0","12","48","50","7","13","19","28","0","12","0","12","0","12","0","12","1400000US06001442000","Census Tract 4420, Alameda County, California"
"182","77","16","19","50","35","10","13","41","53","13","19","9","14","0","17","0","17","23","19","20","22","1400000US06001442100","Census Tract 4421, Alameda County, California"
"292","91","15","23","40","44","51","48","50","49","16","26","24","29","14","23","42","55","0","17","40","38","1400000US06001442200","Census Tract 4422, Alameda County, California"
"855","125","22","25","92","68","99","50","89","46","114","64","157","96","20","25","60","41","182","78","20","19","1400000US06001442301","Census Tract 4423.01, Alameda County, California"
"1699","151","49","42","97","59","147","77","155","62","182","100","238","78","132","82","260","116","353","113","86","68","1400000US06001442302","Census Tract 4423.02, Alameda County, California"
"762","128","33","37","118","80","132","84","94","63","87","54","139","86","14","23","48","53","54","42","43","35","1400000US06001442400","Census Tract 4424, Alameda County, California"
"994","213","25","34","132","130","107","80","99","82","95","106","107","85","98","87","193","191","116","105","22","34","1400000US06001442500","Census Tract 4425, Alameda County, California"
"409","87","0","12","71","59","29","27","60","48","17","20","36","37","8","13","46","49","131","79","11","17","1400000US06001442601","Census Tract 4426.01, Alameda County, California"
"675","144","18","21","17","18","110","64","104","86","155","99","19","24","65","47","65","45","122","80","0","17","1400000US06001442602","Census Tract 4426.02, Alameda County, California"
"294","81","0","12","0","12","91","72","49","35","79","47","0","12","33","40","0","12","28","30","14","16","1400000US06001442700","Census Tract 4427, Alameda County, California"
"142","51","0","12","6","8","8","12","33","24","34","24","22","18","19","22","0","12","20","21","0","12","1400000US06001442800","Census Tract 4428, Alameda County, California"
"611","145","0","17","114","87","0","17","153","98","114","68","41","52","41","47","59","66","89","76","0","17","1400000US06001442900","Census Tract 4429, Alameda County, California"
"246","55","4","8","16","14","46","36","32","21","33","29","16","16","42","43","12","17","41","23","4","8","1400000US06001443001","Census Tract 4430.01, Alameda County, California"
"654","133","17","20","27","28","114","79","73","53","7","12","89","63","70","77","97","66","148","83","12","19","1400000US06001443002","Census Tract 4430.02, Alameda County, California"
"148","60","0","17","26","24","17","14","58","46","26","25","11","17","0","17","0","17","10","15","0","17","1400000US06001443102","Census Tract 4431.02, Alameda County, California"
"154","72","0","12","34","29","30","29","32","39","6","10","25","38","0","12","0","12","12","14","15","22","1400000US06001443103","Census Tract 4431.03, Alameda County, California"
"598","119","19","21","78","64","122","76","56","40","41","35","89","78","108","65","29","28","12","19","44","35","1400000US06001443104","Census Tract 4431.04, Alameda County, California"
"128","58","0","12","0","12","19","22","48","39","11","18","0","12","0","12","8","12","20","22","22","24","1400000US06001443105","Census Tract 4431.05, Alameda County, California"
"27","30","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","19","16","23","1400000US06001443200","Census Tract 4432, Alameda County, California"
"199","84","11","17","22","24","9","13","64","60","46","56","0","12","5","8","10","15","25","25","7","12","1400000US06001443301","Census Tract 4433.01, Alameda County, California"
"654","97","43","35","94","47","128","51","215","91","87","47","5","9","17","18","6","11","50","38","9","15","1400000US06001443321","Census Tract 4433.21, Alameda County, California"
"85","32","0","12","19","17","23","18","10","10","7","10","12","12","0","12","0","12","5","7","9","11","1400000US06001443322","Census Tract 4433.22, Alameda County, California"
"411","178","0","17","57","49","21","40","89","83","69","71","65","71","14","24","36","34","16","26","44","60","1400000US06001444100","Census Tract 4441, Alameda County, California"
"403","127","0","17","75","78","42","41","47","40","36","35","35","35","52","57","0","17","16","17","100","95","1400000US06001444200","Census Tract 4442, Alameda County, California"
"327","85","0","12","0","12","27","28","11","17","77","50","39","35","60","53","44","34","36","38","33","29","1400000US06001444301","Census Tract 4443.01, Alameda County, California"
"738","116","23","25","39","39","64","45","94","60","110","54","122","68","0","17","123","67","153","65","10","15","1400000US06001444302","Census Tract 4443.02, Alameda County, California"
"671","115","30","28","27","24","21","27","148","71","103","77","135","83","33","38","40","37","106","63","28","46","1400000US06001444400","Census Tract 4444, Alameda County, California"
"1146","126","0","17","72","65","186","76","225","101","160","89","75","47","86","73","152","90","181","121","9","14","1400000US06001444500","Census Tract 4445, Alameda County, California"
"236","101","0","17","12","14","25","23","44","53","0","17","59","58","35","29","0","17","61","48","0","17","1400000US06001444601","Census Tract 4446.01, Alameda County, California"
"446","115","11","17","25","28","111","68","18","20","126","79","35","37","27","24","32","27","49","36","12","18","1400000US06001444602","Census Tract 4446.02, Alameda County, California"
"1518","154","112","72","153","77","210","81","259","105","189","77","65","49","61","32","119","60","309","106","41","27","1400000US06001450101","Census Tract 4501.01, Alameda County, California"
"503","92","16","20","41","33","45","33","125","51","82","61","51","40","40","29","37","32","47","41","19","22","1400000US06001450102","Census Tract 4501.02, Alameda County, California"
"1323","159","64","64","110","105","211","121","268","112","75","64","154","87","90","60","114","74","237","105","0","17","1400000US06001450200","Census Tract 4502, Alameda County, California"
"665","118","29","36","36","28","95","53","66","42","43","32","52","34","94","84","77","67","155","93","18","21","1400000US06001450300","Census Tract 4503, Alameda County, California"
"777","180","0","17","37","44","190","99","90","51","82","58","46","55","93","84","86","71","137","93","16","26","1400000US06001450400","Census Tract 4504, Alameda County, California"
"286","78","0","12","29","29","29","28","62","39","28","26","12","19","12","19","8","13","98","63","8","13","1400000US06001450501","Census Tract 4505.01, Alameda County, California"
"215","72","54","64","18","19","0","17","30","25","23","28","11","17","2","7","19","29","37","33","21","24","1400000US06001450502","Census Tract 4505.02, Alameda County, California"
"194","66","8","12","9","13","23","24","34","27","20","22","7","11","0","12","35","44","44","32","14","20","1400000US06001450601","Census Tract 4506.01, Alameda County, California"
"825","189","38","43","107","99","239","136","86","60","77","62","56","51","13","21","103","102","74","52","32","27","1400000US06001450602","Census Tract 4506.02, Alameda County, California"
"354","98","0","17","46","33","48","31","51","37","52","41","51","48","14","21","23","24","54","52","15","19","1400000US06001450603","Census Tract 4506.03, Alameda County, California"
"447","109","22","26","8","14","52","39","97","69","58","40","9","16","17","27","42","40","132","93","10","16","1400000US06001450604","Census Tract 4506.04, Alameda County, California"
"293","79","33","48","0","12","48","39","45","26","16","17","39","34","8","12","26","27","64","48","14","16","1400000US06001450605","Census Tract 4506.05, Alameda County, California"
"340","83","17","20","7","13","37","25","78","61","57","36","11","17","24","38","47","31","52","37","10","16","1400000US06001450606","Census Tract 4506.06, Alameda County, California"
"1525","219","31","38","71","53","137","105","274","118","144","81","133","72","195","132","41","39","499","163","0","17","1400000US06001450607","Census Tract 4506.07, Alameda County, California"
"300","147","0","17","3","5","39","40","4","7","24","29","51","64","3","5","89","97","50","81","37","40","1400000US06001450701","Census Tract 4507.01, Alameda County, California"
"881","119","0","17","77","42","131","86","110","55","64","41","105","78","26","25","42","36","270","110","56","67","1400000US06001450741","Census Tract 4507.41, Alameda County, California"
"337","97","0","17","90","63","22","25","7","11","69","42","40","36","23","27","31","28","45","36","10","15","1400000US06001450742","Census Tract 4507.42, Alameda County, California"
"1656","136","61","44","86","48","279","104","413","127","200","75","233","87","102","77","39","31","183","83","60","38","1400000US06001450743","Census Tract 4507.43, Alameda County, California"
"683","129","57","44","89","55","102","60","67","51","132","82","17","21","23","26","0","17","144","89","52","35","1400000US06001450744","Census Tract 4507.44, Alameda County, California"
"586","154","12","20","130","103","48","49","27","34","50","41","107","72","47","39","65","47","87","84","13","21","1400000US06001450745","Census Tract 4507.45, Alameda County, California"
"381","81","38","59","14","21","46","36","61","36","22","24","40","35","12","20","8","14","140","58","0","12","1400000US06001450746","Census Tract 4507.46, Alameda County, California"
"1349","154","55","53","200","112","77","41","185","84","309","134","126","63","52","37","60","33","251","106","34","32","1400000US06001450750","Census Tract 4507.50, Alameda County, California"
"148","69","7","11","10","16","23","26","19","23","35","41","0","19","14","22","19","25","21","22","0","19","1400000US06001450751","Census Tract 4507.51, Alameda County, California"
"321","98","22","23","48","38","66","45","34","31","21","23","38","37","0","17","9","15","31","25","52","67","1400000US06001450752","Census Tract 4507.52, Alameda County, California"
"441","138","38","39","56","49","55","44","102","86","21","24","19","22","51","65","33","39","49","68","17","18","1400000US06001451101","Census Tract 4511.01, Alameda County, California"
"27","26","0","12","0","12","0","12","12","17","0","12","0","12","0","12","3","10","0","12","12","18","1400000US06001451102","Census Tract 4511.02, Alameda County, California"
"786","189","0","17","20","31","82","67","110","79","52","48","27","34","118","108","60","54","287","152","30","40","1400000US06001451201","Census Tract 4512.01, Alameda County, California"
"248","92","0","17","0","17","57","42","22","25","55","56","41","29","21","24","0","17","42","39","10","16","1400000US06001451202","Census Tract 4512.02, Alameda County, California"
"498","151","57","85","0","17","95","100","58","42","65","58","18","28","33","38","17","27","109","100","46","43","1400000US06001451300","Census Tract 4513, Alameda County, California"
"933","139","0","17","55","57","112","81","167","113","61","56","139","146","65","61","137","124","183","120","14","24","1400000US06001451401","Census Tract 4514.01, Alameda County, California"
"170","50","0","12","20","22","30","29","14","14","38","27","6","10","10","13","6","9","46","18","0","12","1400000US06001451403","Census Tract 4514.03, Alameda County, California"
"1211","194","0","17","93","110","95","71","147","83","252","126","76","70","43","50","186","125","287","140","32","48","1400000US06001451404","Census Tract 4514.04, Alameda County, California"
"652","107","27","25","47","34","92","61","40","31","127","71","107","61","10","16","121","81","71","61","10","15","1400000US06001451501","Census Tract 4515.01, Alameda County, California"
"495","142","27","40","16","27","42","40","0","17","43","50","101","104","24","37","39","51","102","80","101","62","1400000US06001451503","Census Tract 4515.03, Alameda County, California"
"152","47","0","12","13","14","27","19","8","12","29","22","7","13","17","16","10","12","41","32","0","12","1400000US06001451504","Census Tract 4515.04, Alameda County, California"
"117","55","0","12","5","8","10","16","49","47","13","19","12","21","0","12","0","12","18","27","10","16","1400000US06001451505","Census Tract 4515.05, Alameda County, California"
"574","79","0","12","34","41","66","59","94","66","79","57","54","35","41","37","61","48","97","54","48","50","1400000US06001451506","Census Tract 4515.06, Alameda County, California"
"483","105","0","17","69","48","24","29","115","57","59","45","23","25","32","30","26","29","122","70","13","21","1400000US06001451601","Census Tract 4516.01, Alameda County, California"
"1185","183","34","39","38","43","146","82","153","70","120","88","30","31","118","86","101","64","445","145","0","17","1400000US06001451602","Census Tract 4516.02, Alameda County, California"
"256","88","0","12","0","12","69","61","61","50","11","18","47","48","34","29","19","22","8","13","7","16","1400000US06001451701","Census Tract 4517.01, Alameda County, California"
"165","62","0","12","11","17","19","21","33","27","50","42","0","12","0","12","14","17","32","34","6","12","1400000US06001451703","Census Tract 4517.03, Alameda County, California"
"411","104","0","12","9","16","79","63","56","32","48","43","45","34","31","35","11","17","121","69","11","18","1400000US06001451704","Census Tract 4517.04, Alameda County, California"
"27","14","4","6","4","6","8","12","4","5","0","12","7","12","0","12","0","12","0","12","0","12","1400000US06001981900","Census Tract 9819, Alameda County, California"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US06001982000","Census Tract 9820, Alameda County, California"
"51","29","0","12","0","12","19","23","10","10","5","7","12","12","0","12","5","7","0","12","0","12","1400000US06001983200","Census Tract 9832, Alameda County, California"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US06001990000","Census Tract 9900, Alameda County, California"
"268286","2245","8948","700","21773","960","32074","1181","35669","1166","31201","1350","23925","1038","17042","701","23644","1163","63047","1575","10963","819","0500000US06001","Alameda County, California"
